rigid_body_name,bone_name,offset_x,offset_y,offset_z,offset_rot_x,offset_rot_y,offset_rot_z,reset_rot_x,reset_rot_y,reset_rot_z,name_j,name_e,rigid_type,rigid_shape,x,y,z,mass,bounce,friction,collision_group,collision_group_mask,linear_damping,angular_damping
head,head,,0.05,0.06,,,,,,,$name_j,$name_e,0,CAPSULE,0.075,0.03,,1,0,0.5,0,0,0.5,0.5
face,head,,,,,,,,,,face,face,0,SPHERE,0.05,,,1,0,0.5,0,0,0.5,0.5
neck,neck,,,,,,,,,,$name_j,$name_e,0,CAPSULE,0.06,0.12,,1,0,0.5,0,0,0.5,0.5
j_sebo_c,j_sebo_c,,,,,,,,,,$name_j,$name_e,0,SPHERE,0.1,,,1,0,0.5,0,0,0.5,0.5
upper body 2,upper body 2,,,,,,,,,,$name_j,$name_e,0,CAPSULE,0.06,0.14,,1,0,0.5,0,0,0.5,0.5
upper body 2b,upper body 2,,-0.02,,,11,,,,,upper body 2b,upper body 2b,0,CAPSULE,0.09,0.15,,1,0,0.5,0,0,0.5,0.5
upper body,upper body,,,,,,,,,,$name_j,$name_e,0,CAPSULE,0.07,0.03,,1,0,0.5,0,0,0.5,0.5
upper_body b,upper body,,-0.03,,,,,,,,upper_body b,upper_body b,0,CAPSULE,0.08,0.25,,1,0,0.5,0,0,0.5,0.5
j_mune_l,j_mune_l,0.01,-0.05,0.02,,,,,,,$name_j,$name_e,1,SPHERE,0.055,,,0.1,0,0,0,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.9,0.95
j_mune_r,j_mune_r,-0.01,-0.05,0.02,,,,,,,$name_j,$name_e,1,SPHERE,0.055,,,0.1,0,0,0,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.9,0.95
j_mune_core,j_mune_core,,-0.03,-0.03,,90,,,y,y,$name_j,$name_e,0,CAPSULE,0.08,0.07,,1,0,0,0,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0,0
j_mune_l_top,j_mune_l_top,,,,,,,,,,$name_j,$name_e,1,CAPSULE,0.01,0.07,,0.100000001,0,0,4,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.999899983,1
j_mune_l_mid,j_mune_l_mid,,,,,,,,,,$name_j,$name_e,1,SPHERE,0.055,,,0.200000003,0,0,4,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.999899983,1
j_mune_l_bot,j_mune_l_bot,,,,,,,,,,$name_j,$name_e,1,CAPSULE,0.01,0.07,,0.100000001,0,0,4,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.999899983,1
j_mune_r_top,j_mune_r_top,,,,,,,,,,$name_j,$name_e,1,CAPSULE,0.01,0.07,,0.100000001,0,0,4,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.999899983,1
j_mune_r_mid,j_mune_r_mid,,,,,,,,,,$name_j,$name_e,1,SPHERE,0.055,,,0.200000003,0,0,4,0\1\2\3\4\5\6\7\8\9\10\11\12\13\14\15,0.999899983,1
